Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class
CIND,ISHRS DOW JONES IND AVRG ETF USD (ACC),ISHARES VII PLC,SP,CIND.L,Global Equity
CNDX,ISHRS NASDAQ 100 UCITS ETF USD (ACC),ISHARES VII PLC,SP,CNDX.L,Global Equity
CUKX,ISHRS FTSE 100 UCITS ETF GBP (ACC),ISHARES VII PLC,SP,CUKX.L,UK Equity
CMB1,ISHARES FTSE MIB UCITS ETF EUR (ACC),ISHARES VII PLC,SP,CMB1.L,Global Equity
CSUK,ISHRS MSCI UK UCITS ETF GBP (ACC),ISHARES VII PLC,SP,CSUK.L,Global Equity
CSUS,ISHRS MSCI USA UCITS ETF USD (ACC),ISHARES VII PLC,SP,CSUS.L,Global Equity
CEU,ISHRS MSCI EMU UCITS ETF EUR (ACC),ISHARES VII PLC,SP,CEU.L,Global Equity
IJPE,ISHRS MSCI JAPAN EUR HEDGED ETF (ACC),ISHARES V PLC,SP,IJPE.L,Global Equity
IWDE,ISHRS MSCI WORLD EUR HEDGED ETF (ACC),ISHARES V PLC,SP,IWDE.L,Global Equity
IGWD,ISHRS MSCI WORLD GBP HEDGED ETF (ACC),ISHARES V PLC,SP,IGWD.L,Global Equity
IUSE,ISHRS S&P 500 EUR HEDGED ETF (ACC),ISHARES V PLC,SP,IUSE.L,Global Equity
IGUS,ISHRS S&P 500 GBP HEDGED ETF (ACC),ISHARES V PLC,SP,IGUS.L,Global Equity
IESG,ISHR DW JNES EUR SUST SCRNED ETF EUR ACC,ISHARES II PLC,SP,IESG.L,Global Equity
IGSU,ISHR DW JNES GLB SUST SCRNED ETF USD ACC,ISHARES II PLC,SP,IGSU.L,Global Equity
IFRB,ISHRS FRANCE GVT BND ETF EUR (DIST),ISHARES V PLC,SP,IFRB.L,Fixed Income
SDEU,ISHRS GERMANY GVT BND ETF EUR (DIST),ISHARES V PLC,SP,SDEU.L,Fixed Income
SAAA,ISHRS GLOBAL AAA-AA GVT BND ETF USD DIST,ISHARES VI PLC,SP,SAAA.L,Fixed Income
MVUS,ISHRS EDGE S&P 500 MIN VOL ETF USD (ACC),ISHARES VI PLC,SP,MVUS.L,Global Equity
IMV,ISHRS EDGE MSCI EURP MIN VOL ETF EUR ACC,ISHARES VI PLC,SP,IMV.L,Global Equity
QDIV,ISHRS MSCI USA QLTY DIV UCITS ETF $ DIST,ISHARES II PLC,SP,QDIV.L,Global Equity
ISFR,ISHS MSCI FRANCE UCITS ETF EUR (ACC),ISHARES IV PLC,SP,ISFR.L,Global Equity
IEQU,ISHS EDGE MSCI EUR QLT FAC UCITS ETF ACC,ISHARES IV PLC,SP,IEQU.L,Global Equity
IEMO,ISHS EDG MSCI EUR MOMN FAC UCITS ETF ACC,ISHARES IV PLC,SP,IEMO.L,Global Equity
IEVL,ISHS EDGE MSCI EUR VAL FAC UCITS ETF ACC,ISHARES IV PLC,SP,IEVL.L,Global Equity
IESZ,ISHS EDGE MSCI EUROPE SIZE FAC UCITS ACC,ISHARES IV PLC,SP,IESZ.L,Global Equity
IDTL,ISHS $ TRSRY BD 20+YR UCITS ETF USD DIST,ISHARES IV PLC,SP,IDTL.L,Fixed Income
BACK,ISHS US EQTY BYBCK ACHIEV UCITS ETF(ACC),ISHARES IV PLC,SP,BACK.L,Global Equity
