Mnemonic,Long Name,Issuer Name,Security Type,Ticker
HCAN,HSBC MSCI CANADA UCITS ETF,HSBC ETFS PLC,SP,HCAN.L
HMEX,HSBC MSCI MEXICO CAPPED UCITS ETF,HSBC ETFS PLC,SP,HMEX.L
HMLA,HSBC MSCI EM LATIN AMERICA UCITS ETF,HSBC ETFS PLC,SP,HMLA.L
HIDR,HSBC MSCI INDONESIA UCITS ETF,HSBC ETFS PLC,SP,HIDR.L
HTWN,HSBC MSCI TAIWAN UCITS ETF,HSBC ETFS PLC,SP,HTWN.L
HMYR,HSBC MSCI MALAYSIA UCITS ETF,HSBC ETFS PLC,SP,HMYR.L
HKOR,HSBC MSCI KOREA CAPPED UCITS ETF,HSBC ETFS PLC,SP,HKOR.L
HPRO,HSBC FTSE EPRA/NAREIT DEV. UCITS ETF,HSBC ETFS PLC,SP,HPRO.L
HRUB,HSBC MSCI RUSSIA CAPPED UCITS ETF,HSBC ETFS PLC,SP,HRUB.L
HMEF,HSBC MSCI EMERGING MARKETS UCITS ETF,HSBC ETFS PLC,SP,HMEF.L
HMAF,HSBC MSCI AC FAR EAST EXJAPAN UCITSETF £,HSBC ETFS PLC,SP,HMAF.L
CASH,L&G-E FUND MSCI CHINA A,LEGAL & GENERAL UCITS ETF PLC,SP,CASH.L
MLPI,L&G US ENERGY INFRASTRUCTURE MLP,LEGAL & GENERAL UCITS ETF PLC,SP,MLPI.L
HEWD,HSBC ECONOMIC SCALE WORLDWIDE EQ UCITS $,HSBC ETFS PLC,SP,HEWD.L
HWWD,HSBC MULTI FACTOR WORLDWIDE EQ UCITS $,HSBC ETFS PLC,SP,HWWD.L
ROBO,ROBO GLOBAL ROB&AUTO GO UCITS ETF (USD),LEGAL & GENERAL UCITS ETF PLC,SP,ROBO.L
USPY,L&G ISE CYBER SECURITY GO UCITS ETF,LEGAL & GENERAL UCITS ETF PLC,SP,USPY.L
BCOM,L&G ALL COMMODITIES GO UCITS ETF,LEGAL & GENERAL UCITS ETF PLC,SP,BCOM.L
XAGS,L&G LNG DTD ALL COMMOD EX-AGRI&LIVESTCK,LEGAL & GENERAL UCITS ETF PLC,SP,XAGS.L
BATT,L&G BATTERY VALUE-CHAIN GO UCITS ETF,LEGAL & GENERAL UCITS ETF PLC,SP,BATT.L
ECOM,L&G ECOMMERCE LOGISTICS GO UCITS ETF,LEGAL & GENERAL UCITS ETF PLC,SP,ECOM.L
BIOT,L&G PHARMA BREAKTHROUGH GO UCITS ETF,LEGAL & GENERAL UCITS ETF PLC,SP,BIOT.L
IHYE,ISH $ HY CORP BOND UCITS ETF EUR HDG D,ISHARES II PLC,SP,IHYE.L
EMHG,ISH JPM $ EM BOND ETF GBP-H D,ISHARES II PLC,SP,EMHG.L
IUAE,ISH US AGG BOND ETF EUR-H ACC,ISHARES II PLC,SP,IUAE.L
IUGA,ISH US AGG BOND ETF GBP-H D,ISHARES II PLC,SP,IUGA.L
LGAP,L&G ASIA PACIFIC EX JAPAN EQ UCITS ETF,LEGAL & GENERAL UCITS ETF PLC,SP,LGAP.L
LGEU,L&G EUROPE EX UK EQUITY UCITS ETF,LEGAL & GENERAL UCITS ETF PLC,SP,LGEU.L
LGGL,L&G GLOBAL EQUITY UCITS ETF,LEGAL & GENERAL UCITS ETF PLC,SP,LGGL.L
LGJP,L&G JAPAN EQUITY UCITS ETF,LEGAL & GENERAL UCITS ETF PLC,SP,LGJP.L
LGUK,L&G UK EQUITY UCITS ETF,LEGAL & GENERAL UCITS ETF PLC,SP,LGUK.L
LGUS,L&G US EQUITY UCITS ETF,LEGAL & GENERAL UCITS ETF PLC,SP,LGUS.L
AIAI,LG ARTIFICIAL INTELLIGENCE ETF,LEGAL & GENERAL UCITS ETF PLC,SP,AIAI.L
GLUG,LG CLEAN WATER ETF,LEGAL & GENERAL UCITS ETF PLC,SP,GLUG.L
DOCT,LG HEALTHCARE BREAKTHROUGH UCITS ETF,LEGAL & GENERAL UCITS ETF PLC,SP,DOCT.L
RIEU,LG EU EQ (RESP. EXCL.) ETF,LEGAL & GENERAL UCITS ETF PLC,SP,RIEU.L
RIUS,LG US EQ (RESP. EXCL.) ETF,LEGAL & GENERAL UCITS ETF PLC,SP,RIUS.L
VFEM,VANGUARD FTSE EMERGING MARKETS UCITS ETF,VANGUARD FUNDS PLC,SP,VFEM.L
FKU,FT UNITED KINGDOM ALPHADEX UCITS ETF,FIRST TRUST GLOBAL FUNDS PLC,SP,FKU.L
FEM,FT EMERGING MARKETS ALPHADEX UCITS ETF,FIRST TRUST GLOBAL FUNDS PLC,SP,FEM.L
