Mnemonic,Long Name,Issuer Name,Security Type,Ticker,Asset_Class,Geography
DGRW,WT US QD GROWTH UCITS ETF - USD,WISDOMTREE ISSUER ICAV,SP,DGRW.L,Global Equity,US
HEDK,WT EUROPE EQUITY UCITS ETF - USD H ACC,WISDOMTREE ISSUER ICAV,SP,HEDK.L,Global Equity,US
DEMR,WT EM EI UCITS ETF - ACC,WISDOMTREE ISSUER ICAV,SP,DEMR.L,Global Equity,Emerging Markets
EEIA,WT EUROPE EQUITY INCOME UCITS ETF ACC,WISDOMTREE ISSUER ICAV,SP,EEIA.L,Global Equity,Europe
DFEA,WT SMCAP DIV - ACC,WISDOMTREE ISSUER ICAV,SP,DFEA.L,Global Equity,Global
DHSA,WT US EQUITY INCOME UCITS ETF – ACC,WISDOMTREE ISSUER ICAV,SP,DHSA.L,Global Equity,US
DHSG,WISDOMTREE USE EFT - GBP HEDGED,WISDOMTREE ISSUER ICAV,SP,DHSG.L,Global Equity,UK
USPG,UBSETF S&P 500 GBP HD A-DIS,UBS (IRL) ETF PLC,SP,USPG.L,Global Equity,UK
UBTP,UBSETF BLM BARC TIPS1-10 HD GBP A-ACC,UBS ETF,SP,UBTP.L,Fixed Income,UK
UBTL,UBSETF BLM BARC TIPS 10+ USD A-DIS,UBS ETF,SP,UBTL.L,Fixed Income,US
UBTS,UBSETF BLM BARC TIPS1-10 USD A-DIS,UBS ETF,SP,UBTS.L,Fixed Income,US
BRZ,AMUNDI MSCI BRAZIL UCITS ETF,AMUNDI INDEX SOLUTIONS ,SP,BRZ.L,Global Equity,Emerging Markets
FT1K,AMUNDI FTSE 100 UCITS ETF - GBP,AMUNDI INDEX SOLUTIONS ,SP,FT1K.L,UK Equity,UK
CBSE,UBSETF BLM BARC MSCI EUR.AR.LIQ.C.EUR,UBS ETF,SP,CBSE.L,Global Equity,Europe
EPIQ,WISDOMTREE INDIA QUALITY UCITS ETF – USD,WISDOMTREE ISSUER ICAV,SP,EPIQ.L,Global Equity,US
EPIE,WT INDIA QUALITY UCITS ETF - USD ACC,WISDOMTREE ISSUER ICAV,SP,EPIE.L,Global Equity,US
DXJA,WT JAPAN EQUITY UCITS ETF - USD HED ACC,WISDOMTREE ISSUER ICAV,SP,DXJA.L,Global Equity,US
USFM,UBSETF MSCI US SEL FACTOR MIX USD A-DIS,UBS (IRL) ETF PLC,SP,USFM.L,Global Equity,US
BCCU,UBSETF BLOOMBERG COMMODITY CMCI A-DIS,UBS ETFS PLC,SP,BCCU.L,Alternatives,Global
GGOV,AMUNDI J.P. MORGAN GLOBAL GOVIES DR,AMUNDI ETF,SP,GGOV.L,Fixed Income,Global
NRAM,AMUNDI INDEX MSCI NORTH AMERICA DR,AMUNDI ETF,SP,NRAM.L,Global Equity,US
MWRD,AMUNDI INDEX MSCI WORLD DR,AMUNDI ETF,SP,MWRD.L,Global Equity,Global
EPRA,AMUNDI INDEX FTSE EPRA NAREIT GLOBAL DR,AMUNDI ETF,SP,EPRA.L,Alternatives,Global
UC48,UBSETF MSCI AC ASIA EX JAPAN A-ACC,UBS ETFS PLC,SP,UC48.L,Global Equity,Japan
HYST,LYX ETF BOFAML $ ST TERM HY BD DIS,LYXOR INDEX FUND,SP,HYST.L,Fixed Income,Global
SP5C,LYXOR S&P 500 UCITS ETF - C-EUR,MULTI UNITS LUXEMBOURG,SP,SP5C.L,Global Equity,US
UB0A,UBSETF MSCI USA HD GBP A-ACC,UBS (IRL) ETF PLC,SP,UB0A.L,Global Equity,UK
UB0B,UBSETF MSCI USA HD GBP A-DIS,UBS (IRL) ETF PLC,SP,UB0B.L,Global Equity,UK
UB0E,UBSETF MSCI EMU HGBP A-ACC,UBS ETF,SP,UB0E.L,Global Equity,UK
UB0F,UBSETF MSCI EMU HGBP A-DIS,UBS ETF,SP,UB0F.L,Global Equity,UK
UB0C,UBSETF MSCI JAPAN HGBP A-ACC,UBS ETF,SP,UB0C.L,Global Equity,UK
UB0D,UBSETF MSCI JAPAN HGBP A-DIS,UBS ETF,SP,UB0D.L,Global Equity,UK
JPXU,LYX ETF JPXNIKKEI400(DR) DHUSD ACC TH,MULTI UNITS LUXEMBOURG,SP,JPXU.L,Global Equity,US
JPX4,LYX ETF JPXNIKKEI400(DR) ACC TH,MULTI UNITS LUXEMBOURG,SP,JPX4.L,Global Equity,Japan
AUAD,UBSETF MSCI AUSTRALIA AUD A-DIS,UBS (IRL) ETF PLC,SP,AUAD.L,Global Equity,Asia Pacific
